Platform,Publisher,Title,Series,Rating,Genre,Release Date,Developers,Players,Barcode,Item ID, Collection/Wishlist
ps3,Sony Computer Entertainment,The Last of Us,The Last of Us,M,"Action, Adventure",2013-06-14,Naughty Dog,1-8,711719981749,1198313,Collection
Sony PlayStation 5 (PS5),PlayStation Studios,The Last of Us Part I – PlayStation 5,The Last Of Us Series,M,"Action, Adventure",2022-09-02,Naughty Dog,1,711719553403,1862823,Collection
Sony PlayStation 4 (PS4),Sony Interactive Entertainment,The Last of Us Part II: Limited Edition,The Last of Us,M,"Action, Adventure",2020-06-19,Naughty Dog,1,711719519102,1719175,Collection
gba,Nintendo,The Legend of Zelda: A Link to the Past & Four Swords,The Legend of Zelda,E,"Action, Adventure",2002-12-02,Nintendo R&D2 / Capcom,1-4,nocode20131105174345508,1269833,Collection
3ds,Nintendo,The Legend of Zelda: Majora’s Mask 3D,The Legend of Zelda,E10+,"Action, Adventure",2015-02-13,Grezzo,1,nocode20150208160230724,1149907,Collection
3ds,Nintendo,The Legend of Zelda: A Link Between Worlds,The Legend of Zelda,E,"Action, Adventure",2013-11-22,Nintendo EAD,1,045496744984,1565752,Collection
switch,Nintendo,The Legend of Zelda: Breath of the Wild,The Legend Of Zelda,E10+,Adventure,2017-03-03,Nintendo,1,045496590420,1493139,Collection
n64,Nintendo,The Legend of Zelda: Ocarina of Time,The Legend of Zelda,E,"Action, Adventure",1998-11-23,Nintendo EAD,1,045496870386,906777,Collection
3ds,Nintendo,The Legend of Zelda: Ocarina of Time 3D,The Legend of Zelda,E10+,"Action, Adventure",2011-06-19,Grezzo,1,045496743789,1482618,Collection
wii,Nintendo,The Legend of Zelda: Twilight Princess,The Legend of Zelda,T,"Action, Adventure",2006-11-19,Nintendo EAD,1,045496900014,1187662,Collection
xbox360,Valve,The Orange Box,Half-Life,M,First Person Shooter,2007-10-09,Valve,1,014633098495,932305,Collection
Sony PlayStation 4 (PS4),SCEA,The Order: 1886,The Order,M,"Action, Adventure, Third Person Shooter",2015-02-20,Ready At Dawn,1,711719100034,1325300,Collection
xbox,,The Simpsons road Rage,,G,"Action, Adventure, Racing",1969-12-31,,2,5030942028065,993046,Collection
ps2,THQ,The Sopranos: Road to Respect,The Sopranos,M,"Action, Adventure",2006-11-09,THQ,1,4005209083232,1000403,Collection
gba,THQ,The SpongeBob SquarePants Movie,SpongeBob SquarePants,E,"Action, Platform",2004-10-27,WayForward Technologies,1,nocode20120922203318984,1005889,Collection
xboxone,Square Enix,Thief,Thief,M,"Action, Adventure, First Person Shooter, Stealth, Strategy",2014-02-25,Eidos-Montréal,1,nocode20140302102315482,1299846,Collection
psp,LucasArts,Thrillville,Thrillville,E10+,Simulation,2006-11-21,Frontier Developments,1-4,023272404390,925435,Collection
psp,LucasArts,Thrillville: Off the Rails,Thrillville,E10+,Simulation,2007-10-09,Frontier Developments,1-4,023272406394,916671,Collection
ps2,EA Sports,Tiger Woods PGA Tour 06,Tiger Woods PGA Tour,E,Sports,2005-09-20,EA Redwood Shores,1-4,5030941045469,940769,Collection
xboxone,Electronic Arts,Titanfall 2,Titanfall,M,"Action, First Person Shooter",2016-10-28,Respawn Entertainment,1,014633368758,1377665,Collection
Sony PlayStation 4 (PS4),Electronic Arts,Titanfall 2,Titanfall,M,First Person Shooter,2016-10-28,Respawn Entertainment,1-16,014633368741,1377664,Collection
ps3,Ubisoft,Tom Clancy’s EndWar,Tom Clancy’s,T,"Action, Adventure, First Person Shooter, Real Time Strategy, Strategy",2008-11-04,Ubisoft Shanghai,1-4,nocode20141027172402984,899126,Collection
ps2,Ubisoft,Tom Clancy's Ghost Recon,Ghost Recon,M,Stealth,2002-12-01,Red Storm Entertainment,1-2,008888320357,1108968,Collection
xbox,Ubisoft,Tom Clancy’s Ghost Recon 2: Summit Strike,Tom Clancy’s Ghost Recon,T,Third Person Shooter,2005-08-03,Red Storm Entertainment,4,008888512646,1580757,Collection
Sony PlayStation 4 (PS4),Ubisoft,Tom Clancy’s Ghost Recon Breakpoint,Tom Clancy's Ghost Recon,M,Third Person Shooter,2019-10-04,Ubisoft Paris,1-4,887256090432,1716497,Collection
ps3,Ubisoft,Tom Clancy’s Ghost Recon: Advanced Warfighter 2,Tom Clancy’s Ghost Recon,T,First Person Shooter,2007-08-22,Ubisoft Paris,1-16,008888343479,1570362,Collection
xbox360,Ubisoft,Tom Clancy’s Ghost Recon: Future Soldier,Tom Clancy’s Ghost Recon,M,"Action, First Person Shooter",2012-05-22,Ubisoft,4,008888526070,1200573,Collection
xbox,Ubisoft,Tom Clancy’s Ghost Recon: Island Thunder,Tom Clancy’s Ghost Recon,M,First Person Shooter,2003-08-06,Red Storm Entertainment,2,008888510291,1580759,Collection
xbox,Ubisoft,Tom Clancy’s Rainbow Six 3: Black Arrow,Tom Clancy’s Rainbow Six,M,"First Person Shooter, Strategy",2004-08-05,Red Storm Entertainment,1-16,008888511939,1576866,Collection
Sony PlayStation 5 (PS5),Ubisoft,Tom Clancy’s Rainbow Six Extraction,Tom Clancy's Rainbow Six,M,"First Person Shooter, Tactical",2022-01-20,Ubisoft Montreal,1-3,887256110772,1818290,Collection
Sony PlayStation 4 (PS4),Ubisoft,Tom Clancy’s Rainbow Six Siege,Tom Clancy’s Rainbow Six,M,"First Person Shooter, Strategy",2015-12-01,Ubisoft Montreal,1-10,887256027469,1556640,Collection
ps2,Ubisoft,Tom Clancy's Rainbow Six: Lockdown,Tom Clancy's Rainbow Six,M,Third Person Shooter,2005-09-06,Red Storm Entertainment,1-2,008888322054,1213555,Collection
ps3,Ubisoft,Tom Clancy’s Rainbow Six: Vegas 2 – Limited Edition,Tom Clancy’s Rainbow Six,M,First Person Shooter,2008-03-18,Ubisoft,1-16,008888393955,1557396,Collection
xbox360,Ubisoft,Tom Clancy’s Splinter Cell: Conviction,,M,Stealth,2010-04-13,Ubisoft,2,008888523840,1549233,Collection
Sony PlayStation 4 (PS4),Ubisoft,Tom Clancy’s The Division,Tom Clancy's The Division,M,"Action, Third Person Shooter",2016-03-08,Massive Entertainment,1-4,887256013905,1580793,Collection
ps3,Ubisoft,Tom Clancy’s Rainbow Six: Vegas,Tom Clancy’s Rainbow Six,M,First Person Shooter,2007-06-26,Ubisoft Montreal,1-16,008888343219,1213497,Collection
xboxone,Ubisoft,Tom Clancy's Rainbow Six Siege,Tom Clancy's Rainbow Six,M,"First Person Shooter, Strategy",2015-12-01,Ubisoft Montreal,1-10,887256014681,1370700,Collection
Sony PlayStation 4 (PS4),Ubisoft,Tom Clancy's The Division 2,Tom Clancy's The Division,M,"Action, Third Person Shooter",2019-03-15,Massive Entertainment,1-12,887256036454,1711361,Collection
xboxone,Square Enix,Tomb Raider: Definitive Edition,Tomb Raider,M,"Action, Adventure",2014-01-25,Crystal Dynamics,1,662248913797,1336216,Collection
ps2,Eidos Interactive,Tomb Raider: The Angel of Darkness,Tomb Raider,T,"Action, Adventure",2003-06-20,Core Design,1,788687500098,1268518,Collection
ps3,Eidos Interactive,Tomb Raider: Underworld,Tomb Raider,T,"Action, Adventure, Platform, Third Person Shooter",2008-11-18,Crystal Dynamics,1,788687500777,896156,Collection
genesis,Sega,Tommy Lasorda Baseball,Tommy Lasorda Baseball,Not Rated,Sports,1989-08-14,Sega,1-2,010086012002,1580145,Collection
xbox,Activision,Tony Hawk’s American Wasteland,,T,"Adventure, Sports",2005-10-18,Neversoft,2,047875809451,1097565,Collection
gba,Activision,Tony Hawk’s Pro Skater 4,Tony Hawk’s Pro Skater,E,Sports,2002-11-13,Vicarious Visions,1,752073001872,1062341,Collection
ps2,Activision,Tony Hawk's Underground 2,Tony Hawk Underground,T,Sports,2004-10-04,Neversoft,2,047875807310,1192051,Collection
gbc,THQ,Toy Story 2,Toy Story,E,"Action, Platform",2000-03-01,Tiertex Design Studios,1,785138320335,1197685,Collection
ps2,Activision,Transformers: Revenge of the Fallen,Transformers,T,Action,2009-06-23,Activision Blizzard,2,047875835733,1354238,Collection
wii,Disney Interactive Studios,Tron Evolution: Battle Grids,Tron,E10+,"Action, Racing",2010-11-02,n-Space,1-4,712725017866,1153994,Collection
Sony PlayStation 4 (PS4),Gearbox Publishing,Trover Saves the Universe,Trover Saves the Universe,M,Adventure,2019-05-31,Squanch Games,1,850942007755,1714745,Collection
ps2,Activision,True Crime: Streets of LA,True Crime,M,"Action, Sandbox",2003-11-04,Luxoflux,1,047875804272,993024,Collection
xbox360,TopWare Interactive,Two Worlds II,,M,Role Playing Game,2000-12-31,Reality Pump Studios,1,612561700192,1116842,Collection
wii,THQ,uDraw: Dood’s Big Adventure,uDraw,E,"Platform, Puzzle",2010-11-14,THQ,1,785138303710,1562934,Collection
wii,THQ,uDraw: Kung Fu Panda 2,Kung Fu Panda,E10+,"Action, Adventure",2011-05-24,Griptonite Games,1,785138304755,1511791,Collection
ps3,Sony Computer Entertainment,Uncharted: Drake’s Fortune,Uncharted,T,"Action, Adventure",2007-11-16,Naughty Dog,1,711719810322,1580484,Collection
ps3,Sony Computer Entertainment,Uncharted 2: Among Thieves,Uncharted,T,"Action, Adventure",2009-10-13,Naughty Dog,1-10,711719812326,895495,Collection
ps3,Sony Computer Entertainment,Uncharted 3: Drake’s Deception,Uncharted,T,"Action, Adventure",2011-11-01,Naughty Dog,1-10,711719823322,1575249,Collection
Sony PlayStation 4 (PS4),Sony Interactive Entertainment,Uncharted 4: A Thief’s End,Uncharted,T,"Action, Adventure",2016-05-10,Naughty Dog,1,711719047292,1369523,Collection
Sony PlayStation 4 (PS4),Sony Interactive Entertainment,Uncharted: The Lost Legacy,Uncharted,T,"Action, Adventure",2017-08-22,Naughty Dog,1,711719510475,1514335,Collection
Sony PlayStation 4 (PS4),Sony Computer Entertainment,Uncharted: The Nathan Drake Collection,Uncharted,T,"Action, Adventure",2015-10-09,"Bluepoint Games, Naughty Dog",1,711719501367,1442671,Collection
psvita,Sony Computer Entertainment,Uncharted: Golden Abyss,Uncharted,T,"Action, Adventure",2012-02-15,Bend Studio,1,711719200826,1200065,Collection
ps2,Electronic Arts,The Urbz: Sims in the City,The Sims,T,Simulation,2004-11-10,Electronic Arts,2,014633148534,1533330,Collection
Sony PlayStation 4 (PS4),Ubisoft,Watch Dogs 2,Watch Dogs,M,"Action, Adventure, Sandbox, Third Person Shooter",2016-11-15,Ubisoft Montreal,1,887256022884,1580791,Collection
xboxone,Bigben Interactive,WRC 6,WRC,E,Racing,2017-03-03,Kylotonn,1-8,722674220828,1495439,Collection
ps3,THQ,WWE SmackDown vs. Raw 2008 – Collector’s Edition,WWE SmackDown vs. Raw,T,"Sports, Wrestling",2007-11-13,Yuke’s,1-6,752919990285,1509374,Collection
ps2,THQ,WWE SmackDown! vs. Raw 2006,WWE SmackDown! vs. Raw,T,"Fighting, Sports",2005-11-14,Yuke's,6,752919460757,1708126,Collection
xbox,THQ,WWE WrestleMania 21,,T,Sports,2005-04-20,THQ,4,752919520376,1052081,Collection
n64,THQ,WWF No Mercy,WWF,T,"Sports, Wrestling",2000-11-17,AKI Corporation,1-4,4005209028646,1109320,Collection
psvita,Telltale Games,The Walking Dead: The Complete First Season,The Walking Dead,M,Adventure,2013-08-20,Telltale Games,1,711719221852,1281238,Collection
gameboy,Nintendo,Wario Land: Super Mario Land 3,Wario Land,Not Rated,"Platform, Side Scrolling",1994-03-13,Nintendo R&D1,1,nocode20161218130832022,1123498,Collection
Sony PlayStation 4 (PS4),Ubisoft,Watch Dogs,Watch Dogs,M,Action,2014-05-27,Ubisoft Montreal,1,008888358046,1239636,Collection
Sony PlayStation 4 (PS4),Ubisoft,Watch Dogs: Legion (Gold Edition),Watch Dogs,M,"Sandbox, Stealth, Third Person Shooter",2020-10-29,Ubisoft Toronto,1,887256090630,1724428,Collection
Sony PlayStation 5 (PS5),Ubisoft,Watch Dogs: Legion,Watch Dogs,M,Sandbox,2020-11-12,Ubisoft,1,887256110796,1725293,Collection
wii,Nintendo,Wii Fit Plus,Wii Fit,E,Fitness,2009-10-04,Nintendo EAD,1,045496901714,924186,Collection
wii,Nintendo,Wii Sports,Wii Sports,E,Sports,2006-11-19,Nintendo EAD,1-4,018113990026,891150,Collection
xboxone,Bethesda Softworks,Wolfenstein: The New Order,Wolfenstein,M,"Action, Adventure, First Person Shooter",2014-05-20,MachineGames,1,nocode20150311190457115,1297950,Collection
xboxone,Bethesda Softworks,Wolfenstein: The Old Blood,Wolfenstein,M,First Person Shooter,2015-05-05,MachineGames,1,nocode20150515201134491,1425706,Collection
xboxone,Bethesda Softworks,Wolfenstein: Youngblood,Wolfenstein,M,First Person Shooter,2019-07-19,MachineGames; Arkane Studios,2,093155174801,1716897,Collection
seriesx,Sega,Yakuza: Like a Dragon,Yakuza,M,"Action, Adventure, Role Playing Game",2020-11-10,Sega,1,010086640991,1725937,Collection
wii,DreamCatcher Interactive,Yoga,Yoga,E,Fitness,2009-11-24,JoWooD Productions,1,625904586926,1010505,Collection
gba,Konami,Yu-Gi-Oh! The Eternal Duelist Soul,Yu-Gi-Oh!,E,"Card, Strategy",2002-10-15,Konami,1-2,nocode20110604215652781,1131734,Collection
ps3,Sony Computer Entertainment,inFAMOUS 2,inFAMOUS,T,"Action, Adventure",2011-06-07,Sucker Punch Productions,1,711719812524,1119746,Collection
Sony PlayStation 4 (PS4),Sony Computer Entertainment,inFAMOUS: Second Son,inFamous,T,Action,2014-03-21,Sucker Punch Productions,1,711719039655,1294944,Collection
xbox360,Bethesda Softworks,rage,Rage,M,First Person Shooter,2011-04-10,id Software,1,093155117433,1198123,Collection
wii,THQ,Pictionary,Pictionary,E,"Party, Puzzle",2010-11-14,Page 44 Studios,1-4,4005209145015,1368945,Collection
wii,THQ,uDraw Studio: Instant Artist,uDraw,E,"Art, Educational",2011-11-15,Pipeworks Software,1,785138305356,1191768,Collection
