Platform,Publisher,Title,Series,Rating,Genre,Release Date,Developers,Players,Barcode,Item ID, Collection/Wishlist
ps3,Sony Computer Entertainment,LittleBigPlanet 2,LittleBigPlanet,E,"Platform, Sandbox",2011-01-18,Media Molecule,1-4,23153585,1049902,Collection
ps3,Sony Computer Entertainment,LittleBigPlanet,LittleBigPlanet,E,"Adventure, Platform, Puzzle",2008-10-27,Media Molecule,1-4,711719819929,894513,Collection
Sony PlayStation 4 (PS4),Sony Computer Entertainment,LittleBigPlanet 3,LittleBigPlanet,E,"Platform, Side Scrolling",2014-11-18,Sumo Digital,1-4,711719500254,1369751,Collection
Sony PlayStation 4 (PS4),Sony Computer Entertainment,LittleBigPlanet 3,LittleBigPlanet,E,"Platform, Puzzle, Sandbox",2014-11-18,Sumo Digital,1-4,711719523178,1709911,Collection
ds,Electronic Arts,Littlest Pet Shop: Jungle,Littlest Pet Shop,E,Simulation,2008-10-14,Electronic Arts,1,014633191035,1019329,Collection
psp,Sony Computer Entertainment,LocoRoco,LocoRoco,E,"Platform, Puzzle",2006-09-05,Japan Studio,1,711719866220,966563,Collection
wii,Microsoft,Looney Tunes: Acme Arsenal,Looney Tunes,E10+,"Action, Fighting",2007-10-09,Red Tribe,1-4,085391163329,1122228,Collection
ps2,Warner Bros. Interactive Entertainment,The Lord of the Rings: Aragorn's Quest,The Lord of the Rings,T,Action Adventure,2010-09-14,TT Fusion,1-2,883929085538,1031908,Collection
xbox360,Capcom,Lost Planet 3,Lost Planet,T,"Action, Third Person Shooter, Horror",2013-08-27,Spark Unlimited,1,013388330393,1226353,Collection
xbox360,Capcom,Lost Planet Collector’s Edition,Listo Planet,T,"Real Time Strategy, Role Playing Game",2007-01-12,Capcom,1,013388990504,893710,Collection
xbox360,Capcom,Lost Planet: 2,Lost Planet,T,Action,2010-05-11,Capcom,4,013388330195,990814,Collection
